distance_A,sto3g,631g*,cc-pVDZ,cc-pVTZ
1.5,-1084.543755704411,-1098.90271824627,-1098.932749879562,-1099.213766362995
1.7647058823529411,-1084.8506334149272,-1099.2189460896475,-1099.2552902013863,-1099.5222760716797
2.0294117647058822,-1084.9834508744518,-1099.3711551826252,-1099.4127944399688,-1099.673422276733
2.2941176470588234,-1085.009485237394,-1099.4266293787991,-1099.472301934579,-1099.7314525224306
2.5588235294117645,-1084.9851337775583,-1099.4368291296378,-1099.485040711269,-1099.7447687261194
2.8235294117647056,-1084.9439444529462,-1099.4293990898632,-1099.4791000087484,-1099.7396923694805
3.088235294117647,-1084.9053412767898,-1099.4163185355196,-1099.4670149731364,-1099.7283801862786
3.3529411764705883,-1084.8766082999919,-1099.4022678557935,-1099.4536837686978,-1099.7158682238319
3.6176470588235294,-1084.8572916174069,-1099.3888651810726,-1099.440871768974,-1099.7039962782544
3.8823529411764706,-1084.8442103808347,-1099.3766157701148,-1099.4291497270485,-1099.693289988799
4.147058823529411,-1084.8346164592558,-1099.365742457245,-1099.4186552784106,-1099.6838039560048
4.411764705882353,-1084.8269075238452,-1099.3563366846415,-1099.4093568072842,-1099.6754320622385
4.676470588235294,-1084.8203163481762,-1099.3483406716423,-1099.4011839134737,-1099.668036769675
4.9411764705882355,-1084.8144937745374,-1099.3415471081148,-1099.3940495776656,-1099.6614785257575
5.205882352941177,-1084.8092687313379,-1099.3356872186973,-1099.3878423110746,-1099.6556284753779
5.470588235294118,-1084.8045410374411,-1099.330522036511,-1099.3824237823094,-1099.650375574713
5.735294117647059,-1084.8002401766357,-1099.32588130325,-1099.3776459211224,-1099.6456308281406
6.0,-1084.7963106479817,-1099.3216583145545,-1099.3733750892886,-1099.6413272851419
