# LiFSI dissociation — cc-pVTZ
# Distance(Angstrom)   HF(Ha)        VQE(Ha)       CASCI_exact(Ha)
    1.5000   -1355.00692401   -1355.00692595   -1355.00692598
    1.7647   -1355.33810287   -1355.33810392   -1355.33810395
    2.0294   -1355.44147861   -1355.44147975   -1355.44147979
    2.2941   -1355.46414050   -1355.46414177   -1355.46414181
    2.5588   -1355.45968517   -1355.45968655   -1355.45968659
    2.8235   -1355.44710950   -1355.44711093   -1355.44711096
    3.0882   -1355.43314455   -1355.43314589   -1355.43314593
    3.3529   -1355.42004799   -1355.42004912   -1355.42004916
    3.6176   -1355.40841117   -1355.40841200   -1355.40841203
    3.8824   -1355.39823649   -1355.39823703   -1355.39823706
    4.1471   -1355.38936070   -1355.38936101   -1355.38936104
    4.4118   -1355.38157720   -1355.38157736   -1355.38157739
    4.6765   -1355.37470120   -1355.37470126   -1355.37470130
    4.9412   -1355.36858039   -1355.36858041   -1355.36858043
    5.2059   -1355.36309523   -1355.36309523   -1355.36309525
    5.4706   -1355.35815374   -1355.35815374   -1355.35815375
    5.7353   -1355.35368549   -1355.35368548   -1355.35368549
    6.0000   -1355.34963487   -1355.34963486   -1355.34963487

