# LiPF6 dissociation — cc-pVTZ
# Columns:
# Distance(Angstrom)   HF(Ha)        VQE(Ha)       CASCI_exact(Ha)
    1.5000    -945.03920102    -945.03920129    -945.03920133
    1.7647    -945.20443032    -945.20443053    -945.20443057
    2.0294    -945.29774088    -945.29774106    -945.29774110
    2.2941    -945.33404377    -945.33404395    -945.33404399
    2.5588    -945.33724543    -945.33724566    -945.33724570
    2.8235    -945.32545812    -945.32545843    -945.32545847
    3.0882    -945.30878240    -945.30878279    -945.30878283
    3.3529    -945.29180869    -945.29180910    -945.29180914
    3.6176    -945.27625543    -945.27625576    -945.27625581
    3.8824    -945.26256739    -945.26256762    -945.26256766
    4.1471    -945.25069438    -945.25069453    -945.25069456
    4.4118    -945.24039374    -945.24039381    -945.24039384
    4.6765    -945.23140298    -945.23140300    -945.23140304
    4.9412    -945.22349556    -945.22349556    -945.22349559
    5.2059    -945.21649248    -945.21649247    -945.21649250
    5.4706    -945.21025487    -945.21025486    -945.21025488
    5.7353    -945.20467575    -945.20467574    -945.20467575
    6.0000    -945.19967190    -945.19967189    -945.19967190

