# NaPF6 dissociation — cc-pVTZ
# Columns:
# Distance(Angstrom)   HF(Ha)        VQE(Ha)       CASCI_exact(Ha)
    1.5000   -1099.21376631   -1099.21376645   -1099.21376648
    1.7647   -1099.52227608   -1099.52227613   -1099.52227617
    2.0294   -1099.67342228   -1099.67342232   -1099.67342236
    2.2941   -1099.73145254   -1099.73145257   -1099.73145262
    2.5588   -1099.74476875   -1099.74476880   -1099.74476884
    2.8235   -1099.73969238   -1099.73969248   -1099.73969251
    3.0882   -1099.72838019   -1099.72838032   -1099.72838036
    3.3529   -1099.71586823   -1099.71586837   -1099.71586840
    3.6176   -1099.70399629   -1099.70399639   -1099.70399643
    3.8824   -1099.69328995   -1099.69329002   -1099.69329005
    4.1471   -1099.68380394   -1099.68380398   -1099.68380401
    4.4118   -1099.67543207   -1099.67543207   -1099.67543210
    4.6765   -1099.66803677   -1099.66803677   -1099.66803679
    4.9412   -1099.66147853   -1099.66147853   -1099.66147854
    5.2059   -1099.65562848   -1099.65562847   -1099.65562849
    5.4706   -1099.65037558   -1099.65037557   -1099.65037558
    5.7353   -1099.64563084   -1099.64563083   -1099.64563084
    6.0000   -1099.64132730   -1099.64132729   -1099.64132730
